Current Test,Time,X,Y,Z,X2,Y2,Z2
,11772,1325.8302,436.5952,486.4738,,,
,11789,1310.2783,449.84503,487.45578,,,
,11804,1310.2783,449.84503,487.45578,,,
,11820,1295.5358,466.3615,491.015,,,
,11837,1285.3329,487.01428,497.5411,,,
,11855,1274.5641,518.12964,515.2146,,,
,11870,1279.3152,538.81335,526.0428,,,
,11887,1291.3082,555.866,533.9487,,,
,11904,1301.8629,572.598,545.2628,,,
,11920,1314.6837,592.09656,557.79034,,,
,11939,1341.1736,608.6185,567.5502,,,
,11953,1341.1736,608.6185,567.5502,,,
,11971,1351.143,616.68884,573.46533,,,
,11988,0.0,0.0,0.0,,,
,12253,1725.2108,569.59973,567.6288,,,
,12270,1722.409,552.76166,560.68713,,,
,12287,1725.5454,536.4497,555.8197,,,
,12303,1724.2014,520.1838,547.6361,,,
,12320,1717.5055,508.78113,543.8767,,,
,12338,1707.4338,498.65497,538.76984,,,
,12355,1691.3284,488.66425,535.6522,,,
,12373,1674.022,483.13574,534.0624,,,
,12389,1665.4797,478.5979,529.03674,,,
,12405,1645.9805,473.34216,523.57715,,,
,12423,1624.5878,468.84534,518.09106,,,
,12439,1604.8938,466.7721,513.7005,,,
,12455,1604.8938,466.7721,513.7005,,,
,12472,1585.6577,469.50116,512.19763,,,
,12489,1567.5126,471.53973,510.87128,,,
,12506,1553.4006,476.29663,509.7379,,,
,12522,1541.9043,480.12726,508.45764,,,
,12540,1532.1508,485.0786,507.6146,,,
,12556,1532.1508,485.0786,507.6146,,,
,12573,1522.5583,490.35162,508.29218,,,
,12589,1512.1324,496.24512,508.9037,,,
,12606,1503.8418,501.82043,510.01065,,,
,12623,1496.5206,506.531,510.7058,,,
,12639,1490.2031,511.07794,511.01733,,,
,12656,1486.3165,514.9001,512.39606,,,
,12672,1482.9141,517.1496,513.5918,,,
,12690,1464.4735,525.57605,512.4391,,,
,12706,1455.388,529.3757,511.42072,,,
,12723,1455.388,529.3757,511.42072,,,
,12741,1454.8795,529.1824,512.5077,,,
,12757,1454.3315,529.0296,513.2097,,,
,12773,1440.3103,532.36597,516.501,,,
,12789,1427.8801,535.07025,518.3745,,,
,12808,1424.8936,536.04926,519.1439,,,
,12823,1424.1267,536.3594,519.2467,,,
,12839,1425.1145,535.90784,517.89294,,,
,12856,1425.3267,535.7118,516.7519,,,
,12872,1419.6484,535.0467,513.21106,,,
,12889,1411.284,535.3334,509.89487,,,
