Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
,8614,1158.483,307.23566,412.07944,,,,3
,8631,1181.3658,322.69623,422.92303,,,,3
,8648,1207.0597,336.69238,430.9171,,,,3
,8664,1207.0597,336.69238,430.9171,,,,3
,8681,1229.4109,349.8863,436.79663,,,,3
,8698,1249.7755,360.04602,440.70816,,,,3
,8714,1262.2815,365.72833,442.1977,,,,3
,8731,1271.3263,369.6817,444.00565,,,,3
,8748,1277.4944,372.41193,445.41907,,,,3
,8764,1279.4043,372.68365,444.9982,,,,3
,8781,1279.4288,372.7379,444.67896,,,,3
,8798,1276.5787,370.11053,440.81934,,,,3
,8814,1265.7389,363.3595,433.3592,,,,3
,8831,1248.4976,351.96564,424.1811,,,,3
,8848,1224.1229,341.0443,419.16373,,,,3
,8864,1195.0339,329.3499,413.48886,,,,3
,8880,1166.6442,312.41046,407.77194,,,,3
,8897,1166.6442,312.41046,407.77194,,,,3
,8914,1140.6277,299.43756,397.19806,,,,3
,8931,1115.6025,286.8543,388.0606,,,,3
,8947,1092.6436,277.6737,379.97363,,,,3
,8964,1067.9231,268.67242,377.5845,,,,3
,8981,1044.1293,260.5,374.7488,,,,3
,8997,1020.46967,254.33594,374.5456,,,,3
,9014,1001.1164,250.5625,373.26172,,,,3
,9031,980.9464,247.97626,371.01883,,,,3
,9047,960.8647,244.99622,368.5502,,,,3
,9065,945.3005,244.89087,366.80316,,,,3
,9081,931.56915,246.05328,365.59995,,,,3
,9097,919.20856,248.50305,363.96127,,,,3
,9114,908.13904,253.69318,363.25928,,,,3
,9131,908.13904,253.69318,363.25928,,,,3
,9147,898.6527,260.3966,362.22687,,,,3
,9169,892.05804,267.21716,362.13464,,,,3
,9187,888.5656,274.90686,362.943,,,,3
,9203,888.5887,281.94012,364.65097,,,,3
,9219,892.9288,287.5299,367.0235,,,,3
,9236,901.60425,293.06732,370.02908,,,,3
,9253,913.821,297.1872,373.69864,,,,3
,9271,930.5556,299.6925,380.03647,,,,3
,9287,944.9405,300.41394,383.0989,,,,3
,9304,959.2974,297.062,385.76343,,,,3
,9320,972.5118,292.88196,389.6875,,,,3
,9337,980.0596,286.39343,392.01196,,,,3
,9354,980.0596,286.39343,392.01196,,,,3
,9370,981.98846,269.23132,391.0909,,,,3
,9387,981.98846,269.23132,391.0909,,,,3
,9404,963.4883,248.01862,385.50732,,,,3
,9420,944.45544,239.06403,378.9223,,,,3
,9436,944.45544,239.06403,378.9223,,,,3
,9454,901.42755,232.20642,372.41263,,,,3
,9469,880.3948,228.87897,368.04318,,,,3
,9487,880.3948,228.87897,368.04318,,,,3
,9504,840.3402,234.55084,359.6009,,,,3
,9521,824.17505,245.4812,358.91614,,,,3
,9538,824.17505,245.4812,358.91614,,,,3
,9553,824.17505,245.4812,358.91614,,,,3
,9570,810.1025,262.38483,359.7651,,,,3
,9587,791.79016,299.25336,366.71384,,,,3
,9604,789.199,317.26166,371.09433,,,,3
,9620,788.577,332.84296,372.65662,,,,3
,9637,788.577,332.84296,372.65662,,,,3
,9654,797.3783,366.1283,377.48477,,,,3
,9669,797.3783,366.1283,377.48477,,,,3
,9687,805.0292,380.31445,382.26547,,,,3
,9704,820.4053,399.5069,391.10526,,,,3
,9720,827.69916,404.76013,395.16016,,,,3
,9737,835.61035,408.32355,398.77594,,,,3
,9754,835.61035,408.32355,398.77594,,,,3
,9770,843.63324,410.92834,401.61887,,,,3
,9787,843.63324,410.92834,401.61887,,,,3
